t_d_model_ps	DeltaT_lattice_K	DeltaT_electron_K
-5	295	295
-4.99533022014676	295	295
-4.99066044029353	295	295
-4.98599066044029	295	295
-4.98132088058706	295	295
-4.97665110073382	295	295
-4.97198132088059	295	295
-4.96731154102735	295	295
-4.96264176117412	295	295
-4.95797198132088	295	295
-4.95330220146765	295	295
-4.94863242161441	295	295
-4.94396264176117	295	295
-4.93929286190794	295	295
-4.9346230820547	295	295
-4.92995330220147	295	295
-4.92528352234823	295	295
-4.920613742495	295	295
-4.91594396264176	295	295
-4.91127418278853	295	295
-4.90660440293529	295	295
-4.90193462308205	295	295
-4.89726484322882	295	295
-4.89259506337558	295	295
-4.88792528352235	295	295
-4.88325550366911	295	295
-4.87858572381588	295	295
-4.87391594396264	295	295
-4.86924616410941	295	295
-4.86457638425617	295	295
-4.85990660440293	295	295
-4.8552368245497	295	295
-4.85056704469646	295	295
-4.84589726484323	295	295
-4.84122748498999	295	295
-4.83655770513676	295	295
-4.83188792528352	295	295
-4.82721814543029	295	295
-4.82254836557705	295	295
-4.81787858572382	295	295
-4.81320880587058	295	295
-4.80853902601734	295	295
-4.80386924616411	295	295
-4.79919946631087	295	295
-4.79452968645764	295	295
-4.7898599066044	295	295
-4.78519012675117	295	295
-4.78052034689793	295	295
-4.7758505670447	295	295
-4.77118078719146	295	295
-4.76651100733823	295	295
-4.76184122748499	295	295
-4.75717144763175	295	295
-4.75250166777852	295	295
-4.74783188792528	295	295
-4.74316210807205	295	295
-4.73849232821881	295	295
-4.73382254836558	295	295
-4.72915276851234	295	295
-4.72448298865911	295	295
-4.71981320880587	295	295
-4.71514342895263	295	295
-4.7104736490994	295	295
-4.70580386924616	295	295
-4.70113408939293	295	295
-4.69646430953969	295	295
-4.69179452968646	295	295
-4.68712474983322	295	295
-4.68245496997999	295	295
-4.67778519012675	295	295
-4.67311541027352	295	295
-4.66844563042028	295	295
-4.66377585056704	295	295
-4.65910607071381	295	295
-4.65443629086057	295	295
