t_d_model_ps	DeltaT_lattice_K	DeltaT_electron_K
-1.2	295	295
-1.19786524349566	295	295.000000793874
-1.19573048699133	295.000000000168	295.000001683651
-1.19359573048699	295.000000000525	295.000002676587
-1.19146097398266	295.000000001094	295.000003778992
-1.18932621747832	295.000000001896	295.000004995887
-1.18719146097398	295.000000002957	295.000006330877
-1.18505670446965	295.000000004303	295.000007786221
-1.18292194796531	295.000000005958	295.000009363029
-1.18078719146097	295.000000007949	295.000011061514
-1.17865243495664	295.000000010303	295.00001288126
-1.1765176784523	295.000000013044	295.000014821463
-1.17438292194797	295.0000000162	295.000016881138
-1.17224816544363	295.000000019794	295.00001905928
-1.17011340893929	295.000000023854	295.00002135499
-1.16797865243496	295.000000028403	295.000023767563
-1.16584389593062	295.000000033467	295.000026296553
-1.16370913942628	295.000000039071	295.000028941816
-1.16157438292195	295.00000004524	295.000031703529
-1.15943962641761	295.000000051998	295.000034582212
-1.15730486991328	295.000000059371	295.000037578723
-1.15517011340894	295.000000067383	295.000040694266
-1.1530353569046	295.000000076061	295.00004393038
-1.15090060040027	295.000000085429	295.000047288934
-1.14876584389593	295.000000095515	295.000050772122
-1.14663108739159	295.000000106344	295.000054382447
-1.14449633088726	295.000000117945	295.00005812272
-1.14236157438292	295.000000130344	295.000061996046
-1.14022681787859	295.00000014357	295.00006600582
-1.13809206137425	295.000000157652	295.000070155718
-1.13595730486991	295.000000172621	295.000074449691
-1.13382254836558	295.000000188506	295.000078891961
-1.13168779186124	295.00000020534	295.000083487018
-1.1295530353569	295.000000223155	295.000088239611
-1.12741827885257	295.000000241984	295.000093154751
-1.12528352234823	295.000000261864	295.00009823771
-1.1231487658439	295.000000282828	295.000103494015
-1.12101400933956	295.000000304915	295.000108929453
-1.11887925283522	295.000000328163	295.000114550065
-1.11674449633089	295.00000035261	295.000120362157
-1.11460973982655	295.000000378299	295.000126372294
-1.11247498332221	295.00000040527	295.000132587304
-1.11034022681788	295.000000433569	295.000139014284
-1.10820547031354	295.00000046324	295.0001456606
-1.10607071380921	295.00000049433	295.000152533894
-1.10393595730487	295.000000526887	295.000159642086
-1.10180120080053	295.000000560962	295.000166993383
-1.0996664442962	295.000000596607	295.000174596278
-1.09753168779186	295.000000633875	295.000182459562
-1.09539693128752	295.000000672821	295.000190592329
-1.09326217478319	295.000000713504	295.000199003981
-1.09112741827885	295.000000755983	295.000207704234
-1.08899266177452	295.000000800319	295.00021670313
-1.08685790527018	295.000000846576	295.000226011042
-1.08472314876584	295.000000894821	295.00023563868
-1.08258839226151	295.000000945121	295.000245597106
-1.08045363575717	295.000000997546	295.000255897734
-1.07831887925284	295.000001052171	295.000266552349
-1.0761841227485	295.000001109071	295.000277573109
-1.07404936624416	295.000001168323	295.000288972558
-1.07191460973983	295.000001230009	295.000300763635
-1.06977985323549	295.000001294211	295.000312959689
-1.06764509673115	295.000001361018	295.000325574482
-1.06551034022682	295.000001430517	295.000338622207
-1.06337558372248	295.000001502802	295.000352117497
-1.06124082721815	295.000001577968	295.000366075437
-1.05910607071381	295.000001656113	295.000380511577
-1.05697131420947	295.00000173734	295.000395441943
-1.05483655770514	295.000001821755	295.000410883052
-1.0527018012008	295.000001909466	295.000426851925
-1.05056704469646	295.000002000585	295.000443366097
-1.04843228819213	295.00000209523	295.000460443638
-1.04629753168779	295.00000219352	295.000478103161
-1.04416277518346	295.000002295581	295.000496363841
-1.04202801867912	295.000002401539	295.000515245424
-1.03989326217478	295.000002511528	295.000534768254
-1.03775850567045	295.000002625685	295.000554953275
-1.03562374916611	295.00000274415	295.000575822058
-1.03348899266177	295.00000286707	295.000597396812
-1.03135423615744	295.000002994596	295.000619700403
-1.0292194796531	295.000003126883	295.000642756372
-1.02708472314877	295.000003264091	295.000666588951
-1.02494996664443	295.000003406387	295.000691223082
-1.02281521014009	295.000003553941	295.000716684437
-1.02068045363576	295.000003706931	295.000742999437
-1.01854569713142	295.000003865538	295.000770195269
-1.01641094062708	295.00000402995	295.000798299909
-1.01427618412275	295.000004200362	295.00082734214
-1.01214142761841	295.000004376973	295.000857351577
-1.01000667111408	295.00000455999	295.000888358682
-1.00787191460974	295.000004749626	295.000920394793
-1.0057371581054	295.0000049461	295.00095349214
-1.00360240160107	295.00000514964	295.000987683873
-1.00146764509673	295.000005360478	295.001023004081
-0.999332888592395	295.000005578856	295.001059487819
-0.997198132088059	295.000005805022	295.001097171133
-0.995063375583722	295.000006039231	295.001136091079
-0.992928619079386	295.000006281749	295.001176285756
-0.99079386257505	295.000006532847	295.001217794327
-0.988659106070714	295.000006792805	295.001260657047
-0.986524349566377	295.000007061913	295.00130491529
-0.984389593062041	295.000007340469	295.001350611576
-0.982254836557705	295.000007628779	295.001397789601
-0.980120080053369	295.000007927159	295.001446494262
-0.977985323549033	295.000008235936	295.00149677169
-0.975850567044696	295.000008555446	295.001548669278
-0.97371581054036	295.000008886034	295.001602235713
-0.971581054036024	295.000009228056	295.001657521005
-0.969446297531688	295.000009581879	295.001714576518
-0.967311541027352	295.000009947882	295.001773455007
-0.965176784523015	295.000010326453	295.001834210645
-0.963042028018679	295.000010717993	295.001896899062
-0.960907271514343	295.000011122915	295.001961577374
-0.958772515010007	295.000011541643	295.002028304222
-0.95663775850567	295.000011974614	295.002097139806
-0.954503002001334	295.00001242228	295.002168145919
-0.952368245496998	295.000012885102	295.002241385988
-0.950233488992662	295.000013363559	295.002316925109
-0.948098732488326	295.00001385814	295.002394830086
-0.945963975983989	295.000014369351	295.002475169467
-0.943829219479653	295.000014897711	295.00255801359
-0.941694462975317	295.000015443756	295.002643434615
-0.939559706470981	295.000016008034	295.002731506573
-0.937424949966644	295.000016591113	295.002822305403
-0.935290193462308	295.000017193573	295.002915908996
-0.933155436957972	295.000017816015	295.003012397235
-0.931020680453636	295.000018459053	295.003111852046
-0.928885923949299	295.00001912332	295.003214357437
-0.926751167444963	295.000019809469	295.003319999542
-0.924616410940627	295.000020518169	295.003428866675
-0.922481654436291	295.000021250107	295.003541049369
-0.920346897931955	295.000022005992	295.003656640427
-0.918212141427618	295.000022786551	295.003775734973
-0.916077384923282	295.000023592533	295.003898430495
-0.913942628418946	295.000024424705	295.004024826901
-0.91180787191461	295.000025283858	295.004155026569
-0.909673115410274	295.000026170804	295.004289134395
-0.907538358905937	295.000027086377	295.004427257849
-0.905403602401601	295.000028031434	295.004569507027
-0.903268845897265	295.000029006855	295.004715994708
-0.901134089392929	295.000030013546	295.004866836402
-0.898999332888592	295.000031052437	295.005022150413
-0.896864576384256	295.00003212448	295.005182057894
-0.89472981987992	295.000033230658	295.005346682899
-0.892595063375584	295.000034371978	295.00551615245
-0.890460306871247	295.000035549472	295.005690596589
-0.888325550366911	295.000036764204	295.00587014844
-0.886190793862575	295.000038017263	295.006054944273
-0.884056037358239	295.000039309769	295.00624512356
-0.881921280853903	295.000040642871	295.006440829042
-0.879786524349566	295.000042017749	295.006642206789
-0.87765176784523	295.000043435613	295.006849406268
-0.875517011340894	295.000044897706	295.007062580403
-0.873382254836558	295.000046405304	295.007281885646
-0.871247498332221	295.000047959716	295.007507482038
-0.869112741827885	295.000049562284	295.007739533282
-0.866977985323549	295.000051214385	295.007978206809
-0.864843228819213	295.000052917435	295.008223673845
-0.862708472314876	295.000054672882	295.008476109484
-0.86057371581054	295.000056482215	295.008735692757
-0.858438959306204	295.000058346959	295.009002606707
-0.856304202801868	295.000060268679	295.009277038456
-0.854169446297532	295.00006224898	295.009559179282
-0.852034689793195	295.000064289507	295.009849224692
-0.849899933288859	295.000066391947	295.010147374497
-0.847765176784523	295.000068558032	295.010453832889
-0.845630420280187	295.000070789533	295.010768808514
-0.843495663775851	295.00007308827	295.011092514554
-0.841360907271514	295.000075456105	295.0114251688
-0.839226150767178	295.00007789495	295.011766993735
-0.837091394262842	295.000080406761	295.012118216611
-0.834956637758506	295.000082993545	295.012479069532
-0.832821881254169	295.000085657357	295.012849789531
-0.830687124749833	295.000088400303	295.013230618654
-0.828552368245497	295.000091224542	295.013621804046
-0.826417611741161	295.000094132284	295.014023598026
-0.824282855236825	295.000097125793	295.01443625818
-0.822148098732488	295.00010020739	295.014860047438
-0.820013342228152	295.000103379449	295.015295234165
-0.817878585723816	295.000106644404	295.015742092242
-0.81574382921948	295.000110004745	295.016200901157
-0.813609072715143	295.000113463025	295.01667194609
-0.811474316210807	295.000117021854	295.017155518
-0.809339559706471	295.000120683907	295.017651913715
-0.807204803202135	295.000124451922	295.018161436018
-0.805070046697798	295.000128328699	295.018684393741
-0.802935290193462	295.000132317108	295.019221101852
-0.800800533689126	295.000136420082	295.019771881545
-0.79866577718479	295.000140640627	295.020337060332
-0.796531020680454	295.000144981815	295.020916972135
-0.794396264176117	295.000149446792	295.021511957376
-0.792261507671781	295.000154038774	295.022122363072
-0.790126751167445	295.000158761054	295.022748542923
-0.787991994663109	295.000163616998	295.023390857411
-0.785857238158772	295.000168610051	295.024049673887
-0.783722481654436	295.000173743735	295.02472536667
-0.7815877251501	295.000179021653	295.025418317137
-0.779452968645764	295.000184447488	295.026128913819
-0.777318212141427	295.000190025007	295.026857552495
-0.775183455637091	295.00019575806	295.027604636286
-0.773048699132755	295.000201650587	295.028370575748
-0.770913942628419	295.00020770661	295.029155788973
-0.768779186124083	295.000213930244	295.029960701674
-0.766644429619746	295.000220325695	295.030785747289
-0.76450967311541	295.000226897259	295.031631367068
-0.762374916611074	295.000233649329	295.032498010175
-0.760240160106738	295.000240586391	295.033386133778
-0.758105403602402	295.000247713032	295.034296203143
-0.755970647098065	295.000255033934	295.035228691731
-0.753835890593729	295.000262553884	295.036184081292
-0.751701134089393	295.000270277771	295.037162861958
-0.749566377585057	295.000278210586	295.038165532334
-0.74743162108072	295.000286357429	295.039192599596
-0.745296864576384	295.000294723509	295.040244579582
-0.743162108072048	295.000303314141	295.041321996883
-0.741027351567712	295.000312134757	295.042425384937
-0.738892595063375	295.000321190899	295.043555286117
-0.736757838559039	295.000330488227	295.044712251827
-0.734623082054703	295.000340032518	295.045896842588
-0.732488325550367	295.000349829668	295.04710962813
